,score_x,qubits_4_layer_1,qubits_4_layer_2,qubits_4_layer_3,qubits_4_layer_4,qubits_4_layer_5,qubits_4_layer_6,qubits_4_layer_7,qubits_4_layer_8,qubits_4_layer_9,qubits_4_layer_10,qubits_4_layer_11,qubits_4_layer_12,qubits_4_layer_13,qubits_4_layer_14,qubits_4_layer_15,qubits_3_layer_1,qubits_3_layer_2,qubits_3_layer_3,qubits_3_layer_4,qubits_3_layer_5,qubits_3_layer_6,qubits_3_layer_7,qubits_3_layer_8,qubits_3_layer_9,qubits_3_layer_10,qubits_3_layer_11,qubits_3_layer_12,qubits_3_layer_13,qubits_3_layer_14,qubits_3_layer_15,qubits_3_layer_16,qubits_3_layer_17,qubits_5_layer_1,qubits_5_layer_2,qubits_5_layer_3,qubits_5_layer_4,qubits_5_layer_5,qubits_5_layer_6,qubits_5_layer_7,qubits_5_layer_8,qubits_5_layer_9
33,0.165,0.6495,0.5191,0.4367,0.3758,0.3227,0.2753,0.2283,0.2024,0.1754,0.154,0.1304,0.1126,0.1063,0.0895,0.0774,0.2106,0.121,0.0593,0.0323,0.0144,0.0091,0.0052,0.0032,0.0023,0.0011,0.0011,0.0004,0.0003,0.0001,0.0001,0.0001,0.0002,0.8818,0.8528,0.8216,0.7825,0.7483000000000001,0.7012,0.6720999999999999,0.6286,0.5913999999999998
34,0.17,0.6637,0.5339,0.4522,0.3933,0.3357,0.2876,0.2391,0.2129,0.1851,0.1616,0.1375,0.1195,0.1118,0.0944,0.0812,0.2249,0.13,0.0643,0.0344,0.0157,0.0106,0.0055,0.0035,0.0025,0.0014,0.0012,0.0004,0.0004,0.0002,0.0001,0.0001,0.0002,0.8877,0.8639,0.8356,0.7998,0.7686000000000001,0.7242000000000001,0.6935999999999999,0.6519,0.6160999999999999
35,0.175,0.6715,0.547,0.467,0.4059,0.3476,0.2971,0.2496,0.2209,0.1935,0.1675,0.1436,0.1248,0.1166,0.0992,0.0852,0.2376,0.136,0.0677,0.0361,0.0173,0.0109,0.0062,0.0037,0.0026,0.0017,0.0012,0.0004,0.0004,0.0002,0.0001,0.0001,0.0002,0.8925000000000001,0.8709,0.8478,0.8140999999999999,0.7848,0.7394000000000001,0.7118999999999999,0.6713,0.6346999999999998
36,0.18,0.6788,0.5575,0.48,0.4187,0.3607,0.3075,0.2584,0.2325,0.2019,0.1748,0.1502,0.1321,0.1225,0.1033,0.0893,0.2537,0.1427,0.0723,0.0371,0.0183,0.0123,0.0064,0.0041,0.0027,0.0018,0.0012,0.0004,0.0004,0.0003,0.0001,0.0003,0.0002,0.8983000000000001,0.8787,0.858,0.8276999999999999,0.7979,0.7564000000000001,0.7317999999999999,0.6901,0.6533999999999999
37,0.185,0.6844,0.5677,0.4939,0.4303,0.3733,0.3183,0.269,0.2433,0.2112,0.1812,0.1563,0.1384,0.1281,0.1076,0.0927,0.2677,0.1489,0.0762,0.0402,0.0199,0.0133,0.0071,0.0044,0.0028,0.0018,0.0014,0.0005,0.0004,0.0003,0.0001,0.0003,0.0002,0.9022,0.886,0.868,0.8423999999999999,0.8128000000000001,0.7733000000000001,0.7477999999999999,0.7071000000000001,0.6719999999999998
38,0.19,0.6898,0.5777,0.5069,0.4433,0.3851,0.3293,0.2803,0.2543,0.2197,0.189,0.1643,0.1446,0.134,0.112,0.0976,0.2822,0.1561,0.0792,0.0429,0.021,0.0135,0.0076,0.0046,0.0032,0.0018,0.0015,0.0005,0.0004,0.0004,0.0001,0.0003,0.0002,0.9064,0.8939,0.8771,0.8546999999999999,0.8266000000000001,0.7872000000000001,0.7635,0.7248000000000001,0.6890999999999998
39,0.195,0.6935,0.5908,0.5197,0.4556,0.396,0.3399,0.2898,0.2627,0.2282,0.1961,0.1705,0.1489,0.1392,0.117,0.1021,0.2955,0.1637,0.0835,0.0459,0.0221,0.014,0.0081,0.0047,0.0032,0.0019,0.0016,0.0005,0.0004,0.0004,0.0001,0.0003,0.0002,0.9113,0.9016,0.886,0.8664,0.8418000000000001,0.8020000000000002,0.7797,0.7415000000000002,0.7071999999999998
40,0.2,0.6981,0.601,0.5316,0.468,0.4081,0.351,0.301,0.2725,0.236,0.2038,0.178,0.1558,0.1453,0.1213,0.107,0.3096,0.1728,0.0875,0.0488,0.0234,0.0144,0.0086,0.005,0.0034,0.0021,0.0016,0.0006,0.0004,0.0004,0.0002,0.0003,0.0002,0.9165,0.9063,0.8948,0.8757999999999999,0.8560000000000001,0.8157000000000002,0.7928,0.7588000000000001,0.7262999999999998
41,0.205,0.701,0.6119,0.5458,0.4795,0.423,0.3626,0.3123,0.2823,0.2447,0.2099,0.1856,0.1626,0.1498,0.1265,0.1125,0.3221,0.1791,0.0917,0.0511,0.0243,0.0153,0.0089,0.0052,0.0034,0.0024,0.0017,0.0007,0.0005,0.0004,0.0002,0.0003,0.0002,0.9203,0.9125,0.9016,0.8846999999999999,0.8671000000000001,0.8290000000000002,0.8068,0.7753000000000001,0.7416999999999998
42,0.21,0.7032,0.6242,0.5616,0.4964,0.4361,0.3767,0.3249,0.2929,0.255,0.2208,0.1941,0.1722,0.1565,0.1316,0.1182,0.3378,0.1871,0.0982,0.054,0.0261,0.017,0.0095,0.0056,0.0036,0.0027,0.0017,0.0007,0.0006,0.0004,0.0002,0.0004,0.0002,0.9258,0.9177,0.9102,0.8953,0.8779000000000001,0.8438000000000002,0.8243999999999999,0.7925000000000001,0.7594999999999998
43,0.215,0.7065,0.6335,0.5724,0.5079,0.4493,0.3889,0.3367,0.3026,0.2644,0.2277,0.2018,0.179,0.1611,0.1375,0.1231,0.3487,0.1957,0.1031,0.0567,0.0278,0.0186,0.0103,0.006,0.004,0.0027,0.0017,0.0007,0.0007,0.0004,0.0002,0.0004,0.0002,0.9311,0.9224,0.9152,0.9037,0.8878000000000001,0.8558000000000002,0.8377999999999999,0.8073000000000001,0.7732999999999999
44,0.22,0.7092,0.6429,0.5854,0.5206,0.4616,0.4005,0.3461,0.3127,0.2739,0.2361,0.2095,0.185,0.1677,0.1422,0.1289,0.3609,0.2046,0.1069,0.0602,0.0288,0.0197,0.0104,0.0066,0.0041,0.0028,0.0018,0.0007,0.0008,0.0004,0.0003,0.0004,0.0002,0.9358,0.9269,0.9214,0.9109,0.8959000000000001,0.8655000000000003,0.8514999999999999,0.8221000000000002,0.7862999999999999
45,0.225,0.7116,0.653,0.5961,0.5311,0.475,0.4113,0.3577,0.3238,0.2825,0.2451,0.218,0.1919,0.1733,0.148,0.1342,0.3726,0.2118,0.1118,0.0643,0.03,0.0209,0.011,0.0073,0.0042,0.003,0.0018,0.0007,0.0008,0.0004,0.0003,0.0004,0.0002,0.9389,0.9303,0.9270000000000002,0.918,0.9046000000000002,0.8764000000000003,0.8632,0.8342000000000002,0.7992999999999999
46,0.23,0.7136,0.6627,0.6078,0.5439,0.4851,0.4247,0.3705,0.334,0.291,0.2539,0.2261,0.1982,0.1789,0.1553,0.1391,0.386,0.2223,0.1184,0.0669,0.0325,0.0217,0.0118,0.0078,0.0046,0.0032,0.0018,0.0007,0.0009,0.0004,0.0003,0.0005,0.0002,0.9418,0.9336,0.9320000000000002,0.9239,0.9119000000000002,0.8882000000000003,0.874,0.8474000000000002,0.8126999999999999
